frame,timestamp,dt,ship_centerx,ship_centery,ship_angle,moving_right,moving_left,moving_up,moving_down,bullets_count,aliens_count,cargoes_count,alien_bullets_count,hearts_count,shields_count,mouse_x,mouse_y,mouse_buttons,score,ships_left,current_region_index,region_name
0,2025-09-29T23:30:55.851974,0,600.0,672.0,0.0,False,False,False,False,0,0,0,0,0,0,319,492,"[false, false, false]",0,2,0,Starfield Stage - 1
1,2025-09-29T23:30:55.861805,9,600.0,672.0,0.0,False,False,False,False,0,0,0,0,0,0,319,492,"[false, false, false]",0,2,0,Starfield Stage - 1
2,2025-09-29T23:30:55.865823,9,600.0,672.0,0.0,False,False,False,False,0,0,0,0,0,0,319,492,"[false, false, false]",0,2,0,Starfield Stage - 1
3,2025-09-29T23:30:55.875337,9,600.0,672.0,0.0,False,False,False,False,0,0,0,0,0,0,319,492,"[false, false, false]",0,2,0,Starfield Stage - 1
4,2025-09-29T23:30:55.882758,8,600.0,672.0,0.0,False,False,False,False,0,0,0,0,0,0,319,492,"[false, false, false]",0,2,0,Starfield Stage - 1
5,2025-09-29T23:30:55.890825,9,600.0,672.0,0.0,False,False,False,False,0,0,0,0,0,0,319,492,"[false, false, false]",0,2,0,Starfield Stage - 1
6,2025-09-29T23:30:55.901002,9,600.0,672.0,0.0,False,False,False,False,0,0,0,0,0,0,319,492,"[false, false, false]",0,2,0,Starfield Stage - 1
7,2025-09-29T23:30:55.909406,9,600.0,672.0,0.0,False,False,False,False,0,0,0,0,0,0,319,492,"[false, false, false]",0,2,0,Starfield Stage - 1
8,2025-09-29T23:30:55.917918,8,600.0,672.0,0.0,False,False,False,False,0,0,0,0,0,0,319,492,"[false, false, false]",0,2,0,Starfield Stage - 1
9,2025-09-29T23:30:55.926898,10,600.0,672.0,0.0,False,False,False,False,0,0,0,0,0,0,319,492,"[false, false, false]",0,2,0,Starfield Stage - 1
10,2025-09-29T23:30:55.936092,9,600.0,672.0,0.0,False,False,False,False,0,0,0,0,0,0,319,492,"[false, false, false]",0,2,0,Starfield Stage - 1
11,2025-09-29T23:30:55.944196,8,600.0,672.0,0.0,False,False,False,False,0,0,0,0,0,0,319,492,"[false, false, false]",0,2,0,Starfield Stage - 1
12,2025-09-29T23:30:55.952414,8,600.0,672.0,0.0,False,False,False,False,0,1,0,0,0,0,319,492,"[false, false, false]",0,2,0,Starfield Stage - 1
13,2025-09-29T23:30:55.960947,8,600.0,672.0,0.0,False,False,False,False,0,1,0,0,0,0,319,492,"[false, false, false]",0,2,0,Starfield Stage - 1
14,2025-09-29T23:30:55.969772,9,600.0,672.0,0.0,False,False,False,False,0,1,0,0,0,0,319,492,"[false, false, false]",0,2,0,Starfield Stage - 1
15,2025-09-29T23:30:55.978300,9,600.0,672.0,0.0,False,False,False,False,0,1,0,0,0,0,319,492,"[false, false, false]",0,2,0,Starfield Stage - 1
16,2025-09-29T23:30:55.986455,8,600.0,672.0,0.0,False,False,False,False,0,1,0,0,0,0,319,492,"[false, false, false]",0,2,0,Starfield Stage - 1
17,2025-09-29T23:30:55.994460,8,600.0,672.0,0.0,False,False,False,False,0,1,0,0,0,0,319,492,"[false, false, false]",0,2,0,Starfield Stage - 1
18,2025-09-29T23:30:56.003194,9,600.0,672.0,0.0,False,False,False,False,0,1,0,0,0,0,319,492,"[false, false, false]",0,2,0,Starfield Stage - 1
19,2025-09-29T23:30:56.011358,8,600.0,672.0,0.0,False,False,False,False,0,1,0,0,0,0,319,492,"[false, false, false]",0,2,0,Starfield Stage - 1
20,2025-09-29T23:30:56.020796,8,600.0,672.0,0.0,False,False,False,False,0,1,0,0,0,0,319,492,"[false, false, false]",0,2,0,Starfield Stage - 1
21,2025-09-29T23:30:56.028194,9,600.0,672.0,0.0,False,False,False,False,0,1,0,0,0,0,319,492,"[false, false, false]",0,2,0,Starfield Stage - 1
22,2025-09-29T23:30:56.036762,8,600.0,672.0,0.0,False,False,False,False,0,1,0,0,0,0,319,492,"[false, false, false]",0,2,0,Starfield Stage - 1
23,2025-09-29T23:30:56.045049,9,600.0,672.0,0.0,False,False,False,False,0,1,0,0,0,0,319,492,"[false, false, false]",0,2,0,Starfield Stage - 1
24,2025-09-29T23:30:56.053099,8,600.0,672.0,0.0,False,False,False,False,0,1,0,0,0,0,319,492,"[false, false, false]",0,2,0,Starfield Stage - 1
25,2025-09-29T23:30:56.061998,8,600.0,672.0,0.0,False,False,False,False,0,1,0,0,0,0,319,492,"[false, false, false]",0,2,0,Starfield Stage - 1
26,2025-09-29T23:30:56.070513,9,600.0,672.0,0.0,False,False,False,False,0,1,0,0,0,0,319,492,"[false, false, false]",0,2,0,Starfield Stage - 1
27,2025-09-29T23:30:56.078472,8,600.0,672.0,0.0,False,False,False,False,0,1,0,0,0,0,319,492,"[false, false, false]",0,2,0,Starfield Stage - 1
28,2025-09-29T23:30:56.086454,8,600.0,672.0,0.0,False,False,False,False,0,1,0,0,0,0,319,492,"[false, false, false]",0,2,0,Starfield Stage - 1
29,2025-09-29T23:30:56.095028,9,600.0,672.0,0.0,False,False,False,False,0,1,0,0,0,0,319,492,"[false, false, false]",0,2,0,Starfield Stage - 1
