frame,timestamp,dt,ship_centerx,ship_centery,ship_angle,moving_right,moving_left,moving_up,moving_down,bullets_count,aliens_count,cargoes_count,alien_bullets_count,hearts_count,shields_count,mouse_x,mouse_y,mouse_buttons,score,ships_left,current_region_index,region_name
27034,2025-10-06T20:56:35.163519,0.009,600.0,672.0,-0.104477524558956,False,False,False,False,0,0,0,0,0,0,641,281,"[false, false, false]",0,2,0,Starfield Stage - 1
27043,2025-10-06T20:56:35.172521,0.009,600.0,672.0,-0.104477524558956,False,False,False,False,0,0,0,0,0,0,641,281,"[false, false, false]",0,2,0,Starfield Stage - 1
27051,2025-10-06T20:56:35.180925,0.009,600.0,672.0,-0.104477524558956,False,False,False,False,0,0,0,0,0,0,641,281,"[false, false, false]",0,2,0,Starfield Stage - 1
27060,2025-10-06T20:56:35.189445,0.008,600.0,672.0,-0.104477524558956,False,False,False,False,0,0,0,0,0,0,641,281,"[false, false, false]",0,2,0,Starfield Stage - 1
27068,2025-10-06T20:56:35.197581,0.008,600.0,672.0,-0.104477524558956,False,False,False,False,0,0,0,0,0,0,641,281,"[false, false, false]",0,2,0,Starfield Stage - 1
27076,2025-10-06T20:56:35.205640,0.008,600.0,672.0,-0.104477524558956,False,False,False,False,0,0,0,0,0,0,641,281,"[false, false, false]",0,2,0,Starfield Stage - 1
27084,2025-10-06T20:56:35.213595,0.008,600.0,672.0,-0.104477524558956,False,False,False,False,0,0,0,0,0,0,641,281,"[false, false, false]",0,2,0,Starfield Stage - 1
27092,2025-10-06T20:56:35.221577,0.008,600.0,672.0,-0.104477524558956,False,False,False,False,0,0,0,0,0,0,641,281,"[false, false, false]",0,2,0,Starfield Stage - 1
27100,2025-10-06T20:56:35.229853,0.008,600.0,672.0,-0.104477524558956,False,False,False,False,0,0,0,0,0,0,641,281,"[false, false, false]",0,2,0,Starfield Stage - 1
27108,2025-10-06T20:56:35.237848,0.009,600.0,672.0,-0.104477524558956,False,False,False,False,0,0,0,0,0,0,641,281,"[false, false, false]",0,2,0,Starfield Stage - 1
27117,2025-10-06T20:56:35.246334,0.008,600.0,672.0,-0.104477524558956,False,False,False,False,0,0,0,0,0,0,641,281,"[false, false, false]",0,2,0,Starfield Stage - 1
27126,2025-10-06T20:56:35.255506,0.009,600.0,672.0,-0.104477524558956,False,False,False,False,0,0,0,0,0,0,641,281,"[false, false, false]",0,2,0,Starfield Stage - 1
27135,2025-10-06T20:56:35.264454,0.008,600.0,672.0,-0.104477524558956,False,False,False,False,0,0,0,0,0,0,641,281,"[false, false, false]",0,2,0,Starfield Stage - 1
27142,2025-10-06T20:56:35.271637,0.008,600.0,672.0,-0.104477524558956,False,False,False,False,0,0,0,0,0,0,641,281,"[false, false, false]",0,2,0,Starfield Stage - 1
27151,2025-10-06T20:56:35.280814,0.009,600.0,672.0,-0.104477524558956,False,False,False,False,0,0,0,0,0,0,641,281,"[false, false, false]",0,2,0,Starfield Stage - 1
27159,2025-10-06T20:56:35.288906,0.009,600.0,672.0,-0.104477524558956,False,False,False,False,0,0,0,0,0,0,641,281,"[false, false, false]",0,2,0,Starfield Stage - 1
27168,2025-10-06T20:56:35.297520,0.008,600.0,672.0,-0.10981286449304517,False,False,False,False,0,0,0,0,0,0,643,282,"[false, false, false]",0,2,0,Starfield Stage - 1
27176,2025-10-06T20:56:35.305629,0.008,600.0,672.0,-0.11291966075260258,False,False,False,False,0,0,0,0,0,0,644,284,"[false, false, false]",0,2,0,Starfield Stage - 1
27184,2025-10-06T20:56:35.313556,0.008,600.0,672.0,-0.11861159886073695,False,False,False,False,0,0,0,0,0,0,646,286,"[false, false, false]",0,2,0,Starfield Stage - 1
27192,2025-10-06T20:56:35.321714,0.008,600.0,672.0,-0.12499932435450178,False,False,False,False,0,0,0,0,0,0,648,290,"[false, false, false]",0,2,0,Starfield Stage - 1
27200,2025-10-06T20:56:35.329903,0.008,600.0,672.0,-0.1344622473589656,False,False,False,False,0,0,0,0,0,0,651,295,"[false, false, false]",0,2,0,Starfield Stage - 1
27208,2025-10-06T20:56:35.337866,0.008,600.0,672.0,-0.14189705460416394,False,False,False,False,0,0,0,0,0,0,653,301,"[false, false, false]",0,2,0,Starfield Stage - 1
27216,2025-10-06T20:56:35.346086,0.009,600.0,672.0,-0.15264932839526515,False,False,False,False,0,0,0,0,0,0,656,308,"[false, false, false]",0,2,0,Starfield Stage - 1
27225,2025-10-06T20:56:35.354722,0.008,600.0,672.0,-0.164237515935573,False,False,False,False,0,0,0,0,0,0,659,316,"[false, false, false]",0,2,0,Starfield Stage - 1
27234,2025-10-06T20:56:35.363406,0.009,600.0,672.0,-0.17909477459664214,False,False,False,False,0,0,0,0,0,0,663,324,"[false, false, false]",0,2,0,Starfield Stage - 1
27243,2025-10-06T20:56:35.372650,0.009,600.0,672.0,-0.1951254161900654,False,False,False,False,0,0,0,0,0,0,667,333,"[false, false, false]",0,2,0,Starfield Stage - 1
27252,2025-10-06T20:56:35.381604,0.009,600.0,672.0,-0.21770617338579398,False,False,False,False,0,0,0,0,0,0,673,342,"[false, false, false]",0,2,0,Starfield Stage - 1
