frame,timestamp,dt,ship_centerx,ship_centery,ship_angle,moving_right,moving_left,moving_up,moving_down,bullets_count,aliens_count,cargoes_count,alien_bullets_count,hearts_count,shields_count,mouse_x,mouse_y,mouse_buttons,score,ships_left,current_region_index,region_name
10068,2025-10-08T20:05:18.501781,0.008,600.0,672.0,-0.05807415956295393,False,False,False,False,0,0,0,0,0,0,605,586,"[false, false, false]",0,2,0,Starfield Stage - 1
10075,2025-10-08T20:05:18.509635,0.009,600.0,672.0,-0.05807415956295393,False,False,False,False,0,0,0,0,0,0,605,586,"[false, false, false]",0,2,0,Starfield Stage - 1
10084,2025-10-08T20:05:18.517937,0.008,600.0,672.0,-0.05807415956295393,False,False,False,False,0,0,0,0,0,0,605,586,"[false, false, false]",0,2,0,Starfield Stage - 1
10092,2025-10-08T20:05:18.526401,0.009,600.0,672.0,-0.05807415956295393,False,False,False,False,0,0,0,0,0,0,605,586,"[false, false, false]",0,2,0,Starfield Stage - 1
10101,2025-10-08T20:05:18.535547,0.009,600.0,672.0,-0.05807415956295393,False,False,False,False,0,0,0,0,0,0,605,586,"[false, false, false]",0,2,0,Starfield Stage - 1
10109,2025-10-08T20:05:18.543569,0.008,600.0,672.0,-0.05807415956295393,False,False,False,False,0,0,0,0,0,0,605,586,"[false, false, false]",0,2,0,Starfield Stage - 1
10118,2025-10-08T20:05:18.552338,0.009,600.0,672.0,-0.05807415956295393,False,False,False,False,0,0,0,0,0,0,605,586,"[false, false, false]",0,2,0,Starfield Stage - 1
10127,2025-10-08T20:05:18.561197,0.009,600.0,672.0,-0.05807415956295393,False,False,False,False,0,0,0,0,0,0,605,586,"[false, false, false]",0,2,0,Starfield Stage - 1
10136,2025-10-08T20:05:18.570263,0.009,600.0,672.0,-0.05807415956295393,False,False,False,False,0,0,0,0,0,0,605,586,"[false, false, false]",0,2,0,Starfield Stage - 1
10145,2025-10-08T20:05:18.579377,0.009,600.0,672.0,-0.05807415956295393,False,False,False,False,0,0,0,0,0,0,605,586,"[false, false, false]",0,2,0,Starfield Stage - 1
