frame,timestamp,dt,ship_centerx,ship_centery,ship_angle,moving_right,moving_left,moving_up,moving_down,bullets_count,aliens_count,cargoes_count,alien_bullets_count,hearts_count,shields_count,mouse_x,mouse_y,mouse_buttons,score,ships_left,current_region_index,region_name
8952,2025-10-06T21:16:21.224908,0.008,600.0,672.0,0.11343499180721633,False,False,False,False,0,0,0,0,0,0,582,514,"[false, false, false]",0,2,0,Starfield Stage - 1
8960,2025-10-06T21:16:21.233096,0.009,600.0,672.0,0.11343499180721633,False,False,False,False,0,0,0,0,0,0,582,514,"[false, false, false]",0,2,0,Starfield Stage - 1
8969,2025-10-06T21:16:21.241515,0.008,600.0,672.0,0.11343499180721633,False,False,False,False,0,0,0,0,0,0,582,514,"[false, false, false]",0,2,0,Starfield Stage - 1
8977,2025-10-06T21:16:21.249878,0.009,600.0,672.0,0.11343499180721633,False,False,False,False,0,0,0,0,0,0,582,514,"[false, false, false]",0,2,0,Starfield Stage - 1
8986,2025-10-06T21:16:21.259107,0.009,600.0,672.0,0.11343499180721633,False,False,False,False,0,0,0,0,0,0,582,514,"[false, false, false]",0,2,0,Starfield Stage - 1
8995,2025-10-06T21:16:21.267393,0.008,600.0,672.0,0.11343499180721633,False,False,False,False,0,0,0,0,0,0,582,514,"[false, false, false]",0,2,0,Starfield Stage - 1
9003,2025-10-06T21:16:21.275353,0.008,600.0,672.0,0.11343499180721633,False,False,False,False,0,0,0,0,0,0,582,514,"[false, false, false]",0,2,0,Starfield Stage - 1
9011,2025-10-06T21:16:21.283934,0.009,600.0,672.0,0.11343499180721633,False,False,False,False,0,0,0,0,0,0,582,514,"[false, false, false]",0,2,0,Starfield Stage - 1
9020,2025-10-06T21:16:21.292360,0.008,600.0,672.0,0.11343499180721633,False,False,False,False,0,0,0,0,0,0,582,514,"[false, false, false]",0,2,0,Starfield Stage - 1
9028,2025-10-06T21:16:21.300585,0.008,600.0,672.0,0.11343499180721633,False,False,False,False,0,0,0,0,0,0,582,514,"[false, false, false]",0,2,0,Starfield Stage - 1
9037,2025-10-06T21:16:21.309114,0.009,600.0,672.0,0.11343499180721633,False,False,False,False,0,0,0,0,0,0,582,514,"[false, false, false]",0,2,0,Starfield Stage - 1
9044,2025-10-06T21:16:21.317040,0.008,600.0,672.0,0.11343499180721633,False,False,False,False,0,0,0,0,0,0,582,514,"[false, false, false]",0,2,0,Starfield Stage - 1
9053,2025-10-06T21:16:21.325594,0.008,600.0,672.0,0.11343499180721633,False,False,False,False,0,0,0,0,0,0,582,514,"[false, false, false]",0,2,0,Starfield Stage - 1
9061,2025-10-06T21:16:21.333517,0.008,600.0,672.0,0.11343499180721633,False,False,False,False,0,0,0,0,0,0,582,514,"[false, false, false]",0,2,0,Starfield Stage - 1
9069,2025-10-06T21:16:21.341600,0.008,600.0,672.0,0.11343499180721633,False,False,False,False,0,0,0,0,0,0,582,514,"[false, false, false]",0,2,0,Starfield Stage - 1
9077,2025-10-06T21:16:21.349774,0.009,600.0,672.0,0.11343499180721633,False,False,False,False,0,0,0,0,0,0,582,514,"[false, false, false]",0,2,0,Starfield Stage - 1
9086,2025-10-06T21:16:21.358232,0.008,600.0,672.0,0.11343499180721633,False,False,False,False,0,0,0,0,0,0,582,514,"[false, false, false]",0,2,0,Starfield Stage - 1
9095,2025-10-06T21:16:21.367376,0.009,600.0,672.0,0.10786002567208376,False,False,False,False,0,0,0,0,0,0,583,515,"[false, false, false]",0,2,0,Starfield Stage - 1
9103,2025-10-06T21:16:21.375618,0.008,600.0,672.0,0.0889367412899079,False,False,False,False,0,0,0,0,0,0,586,515,"[false, false, false]",0,2,0,Starfield Stage - 1
9112,2025-10-06T21:16:21.384358,0.009,600.0,672.0,0.05837516038161583,False,False,False,False,0,0,0,0,0,0,591,518,"[false, false, false]",0,2,0,Starfield Stage - 1
